date,lst_token,protocol,underlying,exchange_rate,staking_apy_pct,rewards_apy_pct,total_apy_pct,tvl_usd,validators_count,entry_queue_days,exit_queue_days,withdrawal_time_hours,slashing_events_30d,chain,peg_deviation_pct
2025-06-01,cbETH,Coinbase,ETH,1.0,5.23,1.59,7.12,11372132756,141131,12,9,51,1,Base,0.2064
2025-06-02,wstETH,Lido,ETH,1.000888,4.33,1.12,5.86,16449699247,484357,6,6,1,0,Ethereum,0.0254
2025-06-03,rETH,Rocket Pool,ETH,1.002095,2.8,0.29,3.49,23297185282,129783,30,12,54,1,Arbitrum,-0.3787
2025-06-04,sfrxETH,Frax,ETH,1.003021,3.15,1.18,4.11,13613033351,53920,27,1,33,3,Optimism,-0.2041
2025-06-05,osETH,StakeWise,ETH,1.004557,4.31,0.7,5.43,17497290217,474400,29,9,9,0,Base,-0.4058
2025-06-06,ETHx,Stader,ETH,1.00521,5.25,1.64,6.71,3600450891,496856,17,13,30,1,Ethereum,-0.336
2025-06-07,ankrETH,Ankr,ETH,1.004997,5.48,0.97,6.96,23946848832,279610,17,0,9,0,Arbitrum,-0.0373
2025-06-08,cbETH,Coinbase,ETH,1.005929,5.7,2.23,7.31,12192663247,192118,20,6,59,0,Optimism,0.0502
2025-06-09,wstETH,Lido,ETH,1.008547,2.54,0.33,3.0,84630413,226403,16,13,72,2,Base,-0.4467
2025-06-10,rETH,Rocket Pool,ETH,1.007586,3.8,1.43,4.31,24983591387,246691,22,7,28,2,Ethereum,0.1269
2025-06-11,sfrxETH,Frax,ETH,1.009538,5.0,0.73,6.9,5620526724,403293,6,3,27,0,Arbitrum,-0.4835
2025-06-12,osETH,StakeWise,ETH,1.012109,4.25,1.29,5.52,13740767114,305133,6,9,12,3,Optimism,-0.1204
2025-06-13,ETHx,Stader,ETH,1.014239,5.12,1.32,7.07,23375680410,167207,28,5,34,0,Base,0.1103
2025-06-14,ankrETH,Ankr,ETH,1.012459,5.98,1.81,7.17,18142227140,28187,13,14,5,2,Ethereum,0.351
2025-06-15,cbETH,Coinbase,ETH,1.015429,4.63,0.95,5.75,6240965949,464299,6,5,51,3,Arbitrum,0.3227
2025-06-16,wstETH,Lido,ETH,1.012663,4.94,1.01,5.44,15010051246,454533,15,1,46,2,Optimism,-0.1132
2025-06-17,rETH,Rocket Pool,ETH,1.018517,5.37,1.95,6.71,3971255298,261020,25,8,72,1,Base,-0.294
2025-06-18,sfrxETH,Frax,ETH,1.014061,3.84,0.51,4.77,2683962995,285848,29,4,43,3,Ethereum,-0.2894
2025-06-19,osETH,StakeWise,ETH,1.015102,5.27,1.05,7.15,8059115482,264911,15,3,37,0,Arbitrum,-0.2693
2025-06-20,ETHx,Stader,ETH,1.016398,4.99,1.72,6.7,3205119213,113835,26,1,62,0,Optimism,-0.4348
2025-06-21,ankrETH,Ankr,ETH,1.018699,3.92,1.43,4.87,6229829392,120049,30,2,36,2,Base,-0.0027
2025-06-22,cbETH,Coinbase,ETH,1.022398,3.41,0.99,3.77,17580524210,271664,29,9,49,3,Ethereum,-0.3538
2025-06-23,wstETH,Lido,ETH,1.024463,2.52,0.83,3.18,17893790679,167714,13,13,28,3,Arbitrum,0.1789
2025-06-24,rETH,Rocket Pool,ETH,1.02151,5.73,0.96,7.44,17770513941,244776,3,6,64,1,Optimism,0.0035
2025-06-25,sfrxETH,Frax,ETH,1.024592,5.86,1.25,7.48,15276139146,42137,5,5,50,1,Base,-0.4005
2025-06-26,osETH,StakeWise,ETH,1.023894,3.5,0.8,4.62,20530417518,108614,30,12,6,2,Ethereum,-0.2392
2025-06-27,ETHx,Stader,ETH,1.027553,4.86,0.99,5.9,11397206681,278399,4,6,16,0,Arbitrum,-0.2997
2025-06-28,ankrETH,Ankr,ETH,1.023335,2.89,0.59,3.78,14353237983,179654,1,7,4,1,Optimism,-0.2665
2025-06-29,cbETH,Coinbase,ETH,1.029705,3.72,1.31,5.21,18969558795,63455,29,10,22,2,Base,-0.2797
2025-06-30,wstETH,Lido,ETH,1.03239,3.38,1.29,4.69,14616225782,47515,23,11,38,0,Ethereum,0.401
2025-07-01,rETH,Rocket Pool,ETH,1.031547,4.64,1.69,6.04,15961367177,97315,29,8,11,2,Arbitrum,0.3977
2025-07-02,sfrxETH,Frax,ETH,1.02509,3.26,0.74,3.75,492436595,22444,9,8,17,0,Optimism,-0.4149
2025-07-03,osETH,StakeWise,ETH,1.027925,5.25,1.81,5.96,2714097670,375550,17,12,18,1,Base,0.2092
2025-07-04,ETHx,Stader,ETH,1.036289,4.58,1.69,6.0,9641409209,231739,28,0,50,3,Ethereum,0.1789
2025-07-05,ankrETH,Ankr,ETH,1.040641,2.9,0.64,3.86,17249378563,325570,21,3,27,1,Arbitrum,0.0676
2025-07-06,cbETH,Coinbase,ETH,1.040925,4.98,0.73,5.73,726787247,178402,0,9,20,1,Optimism,0.1949
2025-07-07,wstETH,Lido,ETH,1.037329,3.05,0.32,4.02,5745972286,407684,0,5,12,3,Base,0.3154
2025-07-08,rETH,Rocket Pool,ETH,1.038761,5.09,1.94,7.11,10564904176,287997,13,2,61,1,Ethereum,-0.0222
2025-07-09,sfrxETH,Frax,ETH,1.039003,3.73,0.42,4.33,9417886768,26425,1,11,66,0,Arbitrum,-0.3337
2025-07-10,osETH,StakeWise,ETH,1.038158,3.01,1.19,3.94,21626762408,221962,18,14,49,2,Optimism,-0.0037
2025-07-11,ETHx,Stader,ETH,1.042032,4.54,0.91,5.22,1018046207,372143,29,2,48,1,Base,-0.4942
2025-07-12,ankrETH,Ankr,ETH,1.045093,4.35,0.53,4.89,10365941526,82875,8,11,34,1,Ethereum,-0.4933
2025-07-13,cbETH,Coinbase,ETH,1.040161,5.49,1.87,7.11,24636013986,73615,14,10,41,1,Arbitrum,-0.1993
2025-07-14,wstETH,Lido,ETH,1.04352,4.22,1.49,5.07,8172453344,81598,7,0,69,3,Optimism,-0.2813
2025-07-15,rETH,Rocket Pool,ETH,1.039821,4.06,0.93,5.24,15613460178,485597,15,11,24,0,Base,0.1753
2025-07-16,sfrxETH,Frax,ETH,1.045612,3.76,0.78,4.26,16340996092,148105,25,2,50,2,Ethereum,-0.2166
2025-07-17,osETH,StakeWise,ETH,1.037184,5.69,2.02,7.33,2020604570,193213,4,8,48,1,Arbitrum,0.0814
2025-07-18,ETHx,Stader,ETH,1.04546,3.09,0.61,3.55,22698633921,460909,9,0,3,1,Optimism,0.1609
2025-07-19,ankrETH,Ankr,ETH,1.050554,3.99,0.92,5.45,23169832377,407073,8,6,26,1,Base,-0.3455
2025-07-20,cbETH,Coinbase,ETH,1.052169,3.89,0.67,4.72,22990773842,129066,20,1,23,3,Ethereum,0.3928
2025-07-21,wstETH,Lido,ETH,1.05057,3.07,0.82,4.04,9126151903,271060,29,13,6,2,Arbitrum,-0.2915
2025-07-22,rETH,Rocket Pool,ETH,1.05175,4.74,1.58,5.86,20918216350,124228,4,14,53,2,Optimism,0.4804
2025-07-23,sfrxETH,Frax,ETH,1.050444,5.04,1.7,6.75,8633519870,135601,10,2,29,3,Base,-0.495
2025-07-24,osETH,StakeWise,ETH,1.056167,4.55,1.26,5.3,20135413340,287060,4,1,29,3,Ethereum,0.027
2025-07-25,ETHx,Stader,ETH,1.047954,4.85,0.75,5.68,5899064523,146740,24,3,53,3,Arbitrum,0.0461
2025-07-26,ankrETH,Ankr,ETH,1.064032,3.66,1.18,4.11,24857758459,291216,30,0,72,3,Optimism,-0.4683
2025-07-27,cbETH,Coinbase,ETH,1.056749,3.16,0.34,3.82,8723246002,326079,20,12,3,2,Base,-0.1082
2025-07-28,wstETH,Lido,ETH,1.047828,5.69,1.73,7.34,4127275897,124340,9,5,30,3,Ethereum,0.4067
2025-07-29,rETH,Rocket Pool,ETH,1.04747,4.69,0.63,5.65,3482081784,56220,6,0,24,0,Arbitrum,0.385
2025-07-30,sfrxETH,Frax,ETH,1.067528,4.54,1.07,6.22,16236656030,386600,1,8,24,3,Optimism,0.3041
2025-07-31,osETH,StakeWise,ETH,1.068692,5.79,2.28,7.3,10899450660,299032,24,9,7,0,Base,-0.1557
2025-08-01,ETHx,Stader,ETH,1.056915,5.0,0.66,6.82,15336327298,296369,9,7,3,3,Ethereum,0.4222
2025-08-02,ankrETH,Ankr,ETH,1.070815,5.23,1.76,5.92,2891573836,214015,0,3,50,0,Arbitrum,-0.0269
2025-08-03,cbETH,Coinbase,ETH,1.054121,4.06,1.48,4.75,7703113098,197471,17,8,1,3,Optimism,-0.0453
2025-08-04,wstETH,Lido,ETH,1.068893,4.4,0.79,5.44,8794642041,175484,21,8,58,0,Base,-0.2167
2025-08-05,rETH,Rocket Pool,ETH,1.069933,4.33,0.45,4.97,23779364881,12840,21,11,31,2,Ethereum,0.4323
2025-08-06,sfrxETH,Frax,ETH,1.076778,3.28,0.8,4.41,13898016221,341516,16,2,53,1,Arbitrum,0.3072
2025-08-07,osETH,StakeWise,ETH,1.064823,3.66,1.38,4.88,11362097158,51264,21,5,23,2,Optimism,0.4027
2025-08-08,ETHx,Stader,ETH,1.067578,3.73,0.61,4.85,1791372275,227359,30,7,4,1,Base,0.1388
2025-08-09,ankrETH,Ankr,ETH,1.060133,3.82,0.56,4.87,22564815821,383896,21,11,45,1,Ethereum,0.1265
2025-08-10,cbETH,Coinbase,ETH,1.059841,5.65,1.63,7.81,11341519902,64480,7,1,20,3,Arbitrum,0.1667
2025-08-11,wstETH,Lido,ETH,1.060331,4.59,1.16,6.26,10440673857,95078,29,11,36,0,Optimism,0.3812
2025-08-12,rETH,Rocket Pool,ETH,1.08268,3.31,0.34,4.63,9778498174,20803,9,13,62,2,Base,0.0937
2025-08-13,sfrxETH,Frax,ETH,1.061,3.87,0.68,4.39,8549189839,438579,4,1,46,3,Ethereum,0.1207
2025-08-14,osETH,StakeWise,ETH,1.069959,3.85,0.88,4.79,6385950502,249391,23,8,39,1,Arbitrum,0.3979
2025-08-15,ETHx,Stader,ETH,1.064554,3.19,0.68,3.62,23444040763,442072,18,0,2,2,Optimism,-0.4588
2025-08-16,ankrETH,Ankr,ETH,1.082203,5.02,0.79,5.71,4469024931,326638,20,1,57,0,Base,0.2724
2025-08-17,cbETH,Coinbase,ETH,1.067703,4.38,1.58,6.11,24542992718,164166,5,5,68,0,Ethereum,-0.4919
2025-08-18,wstETH,Lido,ETH,1.078841,3.63,1.2,4.92,8397756426,93095,22,1,72,0,Arbitrum,-0.2348
2025-08-19,rETH,Rocket Pool,ETH,1.078929,5.91,1.8,7.28,5870742907,194792,0,11,60,1,Optimism,0.0942
2025-08-20,sfrxETH,Frax,ETH,1.081159,4.39,0.82,5.76,10673404240,349654,15,0,47,0,Base,0.0262
2025-08-21,osETH,StakeWise,ETH,1.086753,3.06,1.14,4.21,22633511578,375302,16,2,23,0,Ethereum,0.3397
2025-08-22,ETHx,Stader,ETH,1.065989,4.77,0.56,6.52,24017418034,158128,12,6,34,3,Arbitrum,0.3033
2025-08-23,ankrETH,Ankr,ETH,1.091457,3.98,1.59,5.49,10742574777,387167,30,0,11,3,Optimism,-0.395
2025-08-24,cbETH,Coinbase,ETH,1.081713,5.42,2.06,6.99,19679752085,228416,16,11,48,1,Base,-0.3244
2025-08-25,wstETH,Lido,ETH,1.099402,4.13,0.63,5.33,8140077023,112411,17,8,69,0,Ethereum,-0.1143
2025-08-26,rETH,Rocket Pool,ETH,1.079682,5.67,1.38,7.78,9624789870,448730,25,10,71,3,Arbitrum,-0.2385
2025-08-27,sfrxETH,Frax,ETH,1.089885,5.94,0.75,6.9,4579690212,416844,4,5,11,2,Optimism,-0.3697
2025-08-28,osETH,StakeWise,ETH,1.081871,3.36,0.96,4.1,5936827374,261807,6,7,7,1,Base,-0.2968
2025-08-29,ETHx,Stader,ETH,1.084966,3.58,0.76,4.21,23981550740,391132,22,3,15,3,Ethereum,-0.1496
2025-08-30,ankrETH,Ankr,ETH,1.077449,4.61,1.31,5.45,23525043789,333571,4,9,46,0,Arbitrum,-0.1777
2025-08-31,cbETH,Coinbase,ETH,1.097899,5.47,0.66,6.07,9049144354,97178,24,4,41,1,Optimism,-0.0367
2025-09-01,wstETH,Lido,ETH,1.108221,4.36,0.95,5.33,5045369251,361199,25,7,60,3,Base,0.4557
2025-09-02,rETH,Rocket Pool,ETH,1.089426,3.28,0.75,4.34,4633568569,411914,11,6,9,3,Ethereum,-0.3394
2025-09-03,sfrxETH,Frax,ETH,1.106841,4.69,1.86,5.68,21096253123,31200,5,10,61,0,Arbitrum,-0.4236
2025-09-04,osETH,StakeWise,ETH,1.102371,2.96,0.42,3.63,22810242158,73886,7,8,12,0,Optimism,-0.2882
2025-09-05,ETHx,Stader,ETH,1.101933,3.69,0.69,4.21,13211939748,391922,11,8,40,2,Base,-0.0536
2025-09-06,ankrETH,Ankr,ETH,1.113043,4.58,0.83,5.09,9637428577,102320,7,14,3,2,Ethereum,0.065
2025-09-07,cbETH,Coinbase,ETH,1.086026,4.89,1.08,6.23,212974170,75678,16,1,31,1,Arbitrum,-0.4431
2025-09-08,wstETH,Lido,ETH,1.101369,4.22,0.5,5.43,7913707032,393526,28,11,1,0,Optimism,0.0965
2025-09-09,rETH,Rocket Pool,ETH,1.0,3.3,0.68,4.0,20751734274,196523,22,8,7,1,Base,0.3856
2025-09-10,sfrxETH,Frax,ETH,1.001012,5.31,1.73,6.58,14087850905,140539,21,4,5,0,Ethereum,0.0763
2025-09-11,osETH,StakeWise,ETH,1.00176,5.3,1.16,6.64,13021476351,194861,12,14,28,1,Arbitrum,0.0356
2025-09-12,ETHx,Stader,ETH,1.002688,5.06,0.94,6.56,5872132064,301851,20,10,71,0,Optimism,-0.1958
2025-09-13,ankrETH,Ankr,ETH,1.00386,5.58,1.97,6.52,12488035107,24916,13,1,34,0,Base,-0.3366
2025-09-14,cbETH,Coinbase,ETH,1.004423,5.57,0.78,6.4,18966068276,264351,24,13,57,1,Ethereum,-0.3851
2025-09-15,wstETH,Lido,ETH,1.005543,5.65,1.04,6.7,9301175435,354137,19,3,28,2,Arbitrum,-0.2369
2025-09-16,rETH,Rocket Pool,ETH,1.00735,2.78,0.78,3.27,14268764244,340335,28,9,32,0,Optimism,0.439
2025-09-17,sfrxETH,Frax,ETH,1.008027,4.14,0.68,5.43,7626797009,75454,30,11,38,0,Base,0.4952
2025-09-18,osETH,StakeWise,ETH,1.010212,3.57,0.63,4.03,8793866156,234346,0,5,4,3,Ethereum,-0.3807
2025-09-19,ETHx,Stader,ETH,1.01059,5.77,1.18,6.78,7037472699,269307,16,4,1,2,Arbitrum,-0.0968
2025-09-20,ankrETH,Ankr,ETH,1.011679,5.77,0.77,6.46,10183290309,436699,20,13,25,0,Optimism,0.4944
2025-09-21,cbETH,Coinbase,ETH,1.010817,4.88,0.61,6.64,15111276805,440500,0,3,25,1,Base,-0.4088
2025-09-22,wstETH,Lido,ETH,1.01461,5.9,1.51,8.22,13727729846,267083,3,13,54,1,Ethereum,0.2056
2025-09-23,rETH,Rocket Pool,ETH,1.01634,4.21,0.89,5.61,19772235410,352349,11,9,62,3,Arbitrum,-0.3199
2025-09-24,sfrxETH,Frax,ETH,1.014873,2.53,0.69,3.3,23985497907,222289,24,6,63,0,Optimism,0.4179
2025-09-25,osETH,StakeWise,ETH,1.017829,4.82,1.38,5.61,7433538961,340111,15,0,65,2,Base,-0.0817
2025-09-26,ETHx,Stader,ETH,1.019692,5.04,1.54,6.04,16197401430,230210,29,10,68,0,Ethereum,0.4167
2025-09-27,ankrETH,Ankr,ETH,1.017021,2.99,0.42,3.99,18799576704,347375,25,5,52,3,Arbitrum,-0.0748
2025-09-28,cbETH,Coinbase,ETH,1.017183,3.59,0.83,4.67,17734055164,267480,26,1,26,2,Optimism,-0.0385
2025-09-29,wstETH,Lido,ETH,1.016647,4.83,0.79,5.44,9134257927,318929,22,12,67,2,Base,0.4503
2025-09-30,rETH,Rocket Pool,ETH,1.024803,3.3,1.27,3.69,21484486394,102364,2,14,52,1,Ethereum,0.2694
2025-10-01,sfrxETH,Frax,ETH,1.019175,3.77,0.84,5.2,4353670435,398644,4,2,22,1,Arbitrum,-0.0087
2025-10-02,osETH,StakeWise,ETH,1.024862,5.38,1.46,7.07,9390918573,346678,2,2,56,2,Optimism,0.3309
2025-10-03,ETHx,Stader,ETH,1.027609,5.24,1.51,6.5,590142199,433758,4,9,72,1,Base,0.4777
2025-10-04,ankrETH,Ankr,ETH,1.023584,4.62,0.75,5.53,7612249557,393880,5,10,45,0,Ethereum,-0.3951
2025-10-05,cbETH,Coinbase,ETH,1.028626,4.13,1.17,4.92,13463234307,180097,9,9,29,1,Arbitrum,0.303
2025-10-06,wstETH,Lido,ETH,1.025912,5.33,1.96,6.01,9689281821,303616,3,10,54,0,Optimism,-0.0284
2025-10-07,rETH,Rocket Pool,ETH,1.029508,5.0,0.95,6.71,20302313637,255657,0,13,33,2,Base,0.048
2025-10-08,sfrxETH,Frax,ETH,1.028144,4.02,1.4,4.94,19331121644,497901,1,7,8,1,Ethereum,0.4857
2025-10-09,osETH,StakeWise,ETH,1.030369,2.89,0.33,3.53,15723819115,409338,2,1,33,3,Arbitrum,0.1993
2025-10-10,ETHx,Stader,ETH,1.033941,3.61,0.85,4.19,24824685296,327902,30,8,65,3,Optimism,-0.3453
2025-10-11,ankrETH,Ankr,ETH,1.038223,4.98,1.2,6.45,2500577946,137730,8,9,67,0,Base,0.0794
2025-10-12,cbETH,Coinbase,ETH,1.035002,3.24,1.19,4.41,22475434521,153696,13,2,46,1,Ethereum,0.0252
2025-10-13,wstETH,Lido,ETH,1.040761,4.3,1.32,5.96,24628101317,376360,2,3,1,1,Arbitrum,0.4801
2025-10-14,rETH,Rocket Pool,ETH,1.03325,5.66,1.31,6.83,4916436502,40214,28,1,71,3,Optimism,0.0125
2025-10-15,sfrxETH,Frax,ETH,1.030816,4.06,0.98,4.86,17857673622,445669,5,11,61,3,Base,0.4161
2025-10-16,osETH,StakeWise,ETH,1.036168,3.04,1.03,3.71,20159245491,358540,21,6,11,0,Ethereum,-0.1613
2025-10-17,ETHx,Stader,ETH,1.044124,3.83,0.77,4.84,18938141251,96726,0,9,51,3,Arbitrum,0.2634
